Oklahoma St.,11/09/2012,65,73,Away,,-,"9,853"
Northern Ariz.,11/18/2012,82,85,Home,,-,"1,345"
Sacramento St.,11/20/2012,87,76,Away,,-,"1,269"
Nevada,11/28/2012,83,84,Away,,-,"5,892"
Idaho,12/01/2012,66,73,Away,,-,935
San Jose St.,12/05/2012,64,73,Home,,-,"1,065"
Stanford,12/15/2012,52,75,Away,,-,"4,627"
Eastern Wash.,12/17/2012,87,65,Home,,-,780
Southern Ill.,12/20/2012,78,70,Neutral,"Logan, UT",-,331
Utah St.,12/21/2012,61,73,Away,,-,"7,781"
Nicholls St.,12/22/2012,82,71,Neutral,"Logan, UT",-,835
UC Irvine,12/29/2012,58,69,Away,,1 OT,"1,401"
Pacific,01/05/2013,64,74,Home,,-,"1,293"
Cal Poly,01/10/2013,69,67,Home,,-,"1,987"
UC Santa Barbara,01/12/2013,59,66,Home,,-,"2,414"
Cal St. Northridge,01/17/2013,74,71,Away,,-,"1,014"
Hawaii,01/19/2013,93,82,Away,,-,"6,814"
Cal St. Fullerton,01/24/2013,88,95,Home,,-,"2,866"
UC Riverside,01/26/2013,79,72,Home,,-,"2,512"
Pacific,02/02/2013,64,77,Away,,-,"3,247"
UC Santa Barbara,02/07/2013,64,56,Away,,-,"1,842"
Cal Poly,02/09/2013,53,68,Away,,-,"2,600"
Hawaii,02/14/2013,89,65,Home,,-,"1,310"
Cal St. Northridge,02/16/2013,73,61,Home,,-,"1,003"
Long Beach St.,02/20/2013,65,71,Away,,-,"2,808"
Northern Colo.,02/23/2013,79,78,Home,,-,"1,631"
UC Riverside,02/28/2013,59,52,Away,,-,656
Cal St. Fullerton,03/02/2013,71,68,Away,,-,"1,026"
Long Beach St.,03/07/2013,76,77,Home,,-,"5,670"
UC Irvine,03/09/2013,85,88,Home,,-,"2,477"
Cal Poly,03/14/2013,41,64,Neutral,"Anaheim, CA",-,"3,942"
