High Point,11/09/2012,73,81,Away,,-,"1,706"
Winston-Salem,11/12/2012,81,65,Home,,-,"4,123"
East Carolina,11/16/2012,73,76,Away,,-,"4,946"
Virginia Tech,11/19/2012,87,96,Home,,-,"3,082"
Rutgers,11/25/2012,80,87,Home,,-,"1,793"
N.C. A&T,11/28/2012,79,90,Home,,-,"3,130"
Citadel,12/01/2012,84,54,Home,,-,"2,035"
James Madison,12/16/2012,73,85,Away,,-,"2,683"
UNC Wilmington,12/19/2012,73,87,Away,,-,"3,497"
Wake Forest,12/22/2012,70,84,Home,,-,"3,482"
North Carolina St.,12/31/2012,68,89,Away,,-,"12,207"
Davidson,01/05/2013,53,85,Away,,-,"3,843"
Lees-McRae,01/09/2013,86,47,Home,,-,"1,847"
Western Caro.,01/12/2013,59,62,Away,,-,"1,634"
Appalachian St.,01/14/2013,70,83,Away,,-,"1,327"
Wofford,01/16/2013,71,52,Home,,-,"2,174"
Furman,01/20/2013,61,69,Home,,-,"3,222"
Samford,01/24/2013,66,64,Home,,-,"1,902"
Chattanooga,01/27/2013,77,69,Home,,-,"2,222"
Elon,01/31/2013,66,72,Home,,-,"2,898"
Col. of Charleston,02/02/2013,59,81,Away,,-,"4,369"
Furman,02/07/2013,88,65,Away,,-,"1,102"
Wofford,02/09/2013,50,59,Away,,-,"1,604"
Western Caro.,02/14/2013,68,70,Home,,-,"2,163"
Appalachian St.,02/17/2013,68,76,Home,,-,"4,014"
Chattanooga,02/21/2013,94,68,Away,,-,"2,682"
Samford,02/23/2013,71,75,Away,,-,"2,864"
Ga. Southern,02/27/2013,60,66,Home,,-,"2,115"
Elon,03/02/2013,66,80,Away,,-,"1,711"
Chattanooga,03/08/2013,87,81,Neutral,"Asheville, NC",-,"3,013"
Elon,03/09/2013,61,68,Neutral,"Asheville, NC",-,"4,689"
