Western St.,11/10/2012,62,42,Home,,-,"5,137"
N.C. Central,11/14/2012,73,60,Home,,-,"4,463"
South Dakota,11/15/2012,71,51,Home,,-,"4,747"
Southern U.,11/16/2012,67,60,Home,,-,"5,019"
Northern Colo.,11/21/2012,69,60,Away,,-,"1,785"
CSU Bakersfield,11/24/2012,63,49,Home,,-,"4,755"
UC Santa Barbara,11/28/2012,68,40,Away,,-,"1,351"
Colorado,12/01/2012,76,69,Home,,-,"8,240"
Illinois St.,12/04/2012,81,67,Away,,-,"6,561"
Okla. Panhandle,12/08/2012,74,55,Home,,-,"5,412"
Denver,12/18/2012,71,61,Home,,-,"4,519"
UC Santa Barbara,12/21/2012,56,40,Home,,-,"5,372"
SMU,01/02/2013,59,56,Away,,-,"3,308"
Boise St.,01/09/2013,61,63,Home,,-,"6,416"
Nevada,01/12/2013,59,48,Away,,-,"6,282"
Fresno St.,01/16/2013,36,49,Away,,-,"6,670"
San Diego St.,01/19/2013,58,45,Home,,-,"9,573"
UNLV,01/24/2013,50,62,Away,,-,"15,640"
Air Force,01/26/2013,48,57,Home,,-,"8,404"
New Mexico,01/30/2013,59,63,Home,,-,"5,376"
Colorado St.,02/02/2013,46,65,Away,,-,"8,745"
CSU Bakersfield,02/06/2013,61,53,Away,,-,"1,208"
Boise St.,02/09/2013,61,68,Away,,-,"8,127"
Nevada,02/13/2013,68,48,Home,,-,"4,903"
Fresno St.,02/16/2013,55,51,Home,,1 OT,"6,377"
San Diego St.,02/19/2013,51,79,Away,,-,"12,414"
UNLV,02/23/2013,42,65,Home,,-,"7,097"
Air Force,02/26/2013,66,72,Away,,-,"2,119"
New Mexico,03/02/2013,42,53,Away,,-,"15,411"
Colorado St.,03/06/2013,56,78,Home,,-,"6,803"
Nevada,03/12/2013,85,81,Neutral,"Las Vegas, NV",-,"4,712"
New Mexico,03/13/2013,46,59,Neutral,"Las Vegas, NV",-,"13,297"
Lehigh,03/19/2013,67,66,Home,,-,"1,528"
Western Mich.,03/25/2013,67,75,Home,,1 OT,"2,544"
