name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ahmed, Aly",So.,2013-14,C,6-9,23,80,165,0.485,0,0,-,51,77,0.662,153,6.652,12,0.522,19,0.826,11,0.478,211,9.174,39
"Ahmed, Abdul",Jr.,2013-14,C,6-10,24,34,101,0.337,12,34,0.353,14,21,0.667,65,2.708,8,0.333,6,0.250,7,0.292,94,3.917,26
"Airington, Jaylin",So.,2013-14,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Barnes, Brandon",Sr.,2013-14,G,6-1,31,110,247,0.445,18,62,0.290,54,93,0.581,132,4.258,42,1.355,6,0.194,27,0.871,292,9.419,55
"Corbin, Tyrell",Jr.,2013-14,G,6-0,31,37,109,0.339,7,24,0.292,66,84,0.786,58,1.871,63,2.032,0,-,16,0.516,147,4.742,46
"Grayson, Issiah",Sr.,2013-14,G,5-11,31,158,317,0.498,66,137,0.482,128,158,0.810,84,2.710,122,3.935,1,0.032,47,1.516,510,16.452,88
"Hall, Corey",Sr.,2013-14,F,6-7,26,35,71,0.493,7,20,0.350,24,38,0.632,73,2.808,5,0.192,8,0.308,13,0.500,101,3.885,25
"Johnson, Stefon",Sr.,2013-14,F,6-6,31,81,183,0.443,11,34,0.324,18,31,0.581,156,5.032,50,1.613,21,0.677,20,0.645,191,6.161,38
"Jones, Kregg",Jr.,2013-14,F,6-8,15,20,38,0.526,0,0,-,5,12,0.417,28,1.867,2,0.133,12,0.800,1,0.067,45,3.000,10
"Kinney, Erik",So.,2013-14,G,6-4,29,41,104,0.394,0,4,0.000,46,73,0.630,117,4.034,24,0.828,19,0.655,18,0.621,128,4.414,42
"Lamb, Zach",Sr.,2013-14,G,6-3,25,32,90,0.356,9,26,0.346,21,24,0.875,23,0.920,26,1.040,1,0.040,8,0.320,94,3.760,13
"Maynor, Javonte",Jr.,2013-14,G,6-0,31,90,227,0.396,73,188,0.388,21,31,0.677,51,1.645,22,0.710,3,0.097,33,1.065,274,8.839,21
"Ratto, Matt",Sr.,2013-14,G,5-11,18,10,19,0.526,10,18,0.556,2,3,0.667,4,0.222,1,0.056,1,0.056,2,0.111,32,1.778,2
"Smith, Zech",Jr.,2013-14,C,6-10,15,14,24,0.583,0,0,-,5,16,0.313,42,2.800,1,0.067,13,0.867,1,0.067,33,2.200,17
"Wallace, Dee",Jr.,2013-14,G,5-10,3,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Wrapp, Brent",Fr.,2013-14,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
