name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Biber, Josh",---,2013-14,-,-,4,0,0,-,0,0,-,0,3,0.000,2,0.500,3,0.750,0,-,1,0.250,0,-,2
"Blackmon, Tavon",Fr.,2013-14,G,6-0,27,73,188,0.388,8,23,0.348,38,68,0.559,38,1.407,94,3.481,2,0.074,18,0.667,192,7.111,68
"Hobbie, Norman",Fr.,2013-14,G,6-4,27,51,121,0.421,46,107,0.430,14,16,0.875,21,0.778,9,0.333,0,-,3,0.111,162,6.000,14
"King, Leland",Fr.,2013-14,F,6-7,28,106,236,0.449,21,77,0.273,27,50,0.540,139,4.964,18,0.643,15,0.536,13,0.464,260,9.286,33
"Kuakumensah, Cedric",So.,2013-14,F,6-8,28,95,232,0.409,0,1,0.000,58,83,0.699,197,7.036,26,0.929,90,3.214,10,0.357,248,8.857,41
"Madigan, Matty",Fr.,2013-14,G,6-4,28,9,31,0.290,4,15,0.267,8,13,0.615,27,0.964,19,0.679,2,0.071,15,0.536,30,1.071,14
"Maia, Rafael",Jr.,2013-14,C,6-9,22,77,161,0.478,5,9,0.556,49,85,0.576,178,8.091,26,1.182,6,0.273,19,0.864,208,9.455,46
"Martin, Aram",Fr.,2013-14,F,6-10,4,0,3,0.000,0,2,0.000,0,0,-,3,0.750,0,-,0,-,1,0.250,0,-,1
"McGonagill, Sean",Sr.,2013-14,G,6-1,28,158,388,0.407,91,224,0.406,88,113,0.779,120,4.286,106,3.786,1,0.036,38,1.357,495,17.679,48
"Schmidt, Jon",Jr.,2013-14,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sharkey, Joe",Jr.,2013-14,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Spieth, Steven",Fr.,2013-14,G,6-6,28,68,136,0.500,15,38,0.395,80,93,0.860,154,5.500,64,2.286,8,0.286,33,1.179,231,8.250,52
"Walker, Dockery",Jr.,2013-14,F,6-7,28,70,135,0.519,0,1,0.000,34,66,0.515,124,4.429,9,0.321,10,0.357,8,0.286,174,6.214,39
"Yiljep, Longji",Jr.,2013-14,G,6-5,4,0,2,0.000,0,1,0.000,0,0,-,3,0.750,3,0.750,0,-,0,-,0,-,0
