name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ayers, Cameron",Sr.,2013-14,G,6-5,30,154,374,0.412,62,152,0.408,91,106,0.858,134,4.467,41,1.367,2,0.067,27,0.900,461,15.367,39
"Azzinaro, John",Fr.,2013-14,G,5-11,28,33,98,0.337,16,48,0.333,12,17,0.706,25,0.893,25,0.893,0,-,10,0.357,94,3.357,14
"Banas, Matt",So.,2013-14,F,6-9,3,0,0,-,0,0,-,0,0,-,1,0.333,0,-,0,-,0,-,0,-,0
"Brackney, Ben",Sr.,2013-14,G,6-6,25,58,153,0.379,46,107,0.430,27,31,0.871,95,3.800,9,0.360,0,-,7,0.280,189,7.560,20
"Fitzpatrick, Brian",Sr.,2013-14,F,6-8,30,115,195,0.590,5,11,0.455,44,61,0.721,153,5.100,28,0.933,6,0.200,4,0.133,279,9.300,45
"Frazier, Ryan",So.,2013-14,G,6-0,30,39,105,0.371,13,40,0.325,34,46,0.739,40,1.333,26,0.867,3,0.100,14,0.467,125,4.167,22
"Hass, Chris",So.,2013-14,G,6-5,29,109,255,0.427,47,117,0.402,57,68,0.838,117,4.034,17,0.586,13,0.448,17,0.586,322,11.103,30
"Hill, Ryan",Sr.,2013-14,G,6-3,25,15,46,0.326,2,4,0.500,23,30,0.767,41,1.640,40,1.600,0,-,11,0.440,55,2.200,29
"Hoffman, Dom",So.,2013-14,F,6-7,30,70,151,0.464,0,0,-,28,36,0.778,120,4.000,19,0.633,7,0.233,3,0.100,168,5.600,20
"Kaspar, Steven",Jr.,2013-14,G,6-3,30,69,169,0.408,4,18,0.222,54,93,0.581,127,4.233,139,4.633,10,0.333,32,1.067,196,6.533,71
"MacLeay, D.J.",Fr.,2013-14,F,6-6,16,9,24,0.375,1,3,0.333,5,6,0.833,38,2.375,3,0.188,4,0.250,6,0.375,24,1.500,12
"Oberfeld, Ben",Fr.,2013-14,C,6-9,6,3,8,0.375,0,0,-,0,0,-,6,1.000,1,0.167,1,0.167,0,-,6,1.000,0
"Singleton, Joshea",Jr.,2013-14,G,6-3,11,3,15,0.200,0,2,0.000,7,13,0.538,6,0.545,3,0.273,1,0.091,0,-,13,1.182,6
"Starkey, Cory",Jr.,2013-14,F,6-8,14,21,34,0.618,0,0,-,3,9,0.333,54,3.857,6,0.429,2,0.143,7,0.500,45,3.214,9
