name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Buffkin, Kyle",Fr.,2013-14,C,6-10,12,2,3,0.667,0,0,-,0,3,0.000,6,0.500,0,-,1,0.083,0,-,4,0.333,3
"Cameron, Josh",Jr.,2013-14,G,6-1,33,146,374,0.390,66,172,0.384,108,143,0.755,85,2.576,81,2.455,8,0.242,32,0.970,466,14.121,92
"Curtis, Tristian",So.,2013-14,F,6-7,26,20,50,0.400,1,3,0.333,9,30,0.300,80,3.077,7,0.269,15,0.577,3,0.115,50,1.923,14
"Diagne, Badou",So.,2013-14,F,6-7,31,88,167,0.527,22,59,0.373,44,63,0.698,202,6.516,26,0.839,22,0.710,15,0.484,242,7.806,49
"Enanga, Michel",So.,2013-14,F,6-5,33,60,143,0.420,11,48,0.229,41,73,0.562,176,5.333,32,0.970,16,0.485,30,0.909,172,5.212,49
"Gillis, Warren",Jr.,2013-14,G,6-3,33,162,351,0.462,26,69,0.377,138,162,0.852,115,3.485,104,3.152,3,0.091,54,1.636,488,14.788,91
"Law, Aaron",So.,2013-14,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ljeskovic, Uros",So.,2013-14,F,6-8,31,38,72,0.528,0,0,-,26,55,0.473,87,2.806,2,0.065,2,0.065,9,0.290,102,3.290,31
"Ndieguene, El Hadji",Sr.,2013-14,C,6-10,31,53,123,0.431,0,0,-,31,44,0.705,214,6.903,18,0.581,10,0.323,11,0.355,137,4.419,38
"Ray-St Cyr, Colton",Fr.,2013-14,G,6-5,27,40,86,0.465,15,45,0.333,9,14,0.643,56,2.074,23,0.852,7,0.259,9,0.333,104,3.852,23
"Smith, Eric",Sr.,2013-14,G,6-0,32,25,76,0.329,9,37,0.243,17,25,0.680,25,0.781,22,0.688,1,0.031,13,0.406,76,2.375,19
"Trapps, Ron",Fr.,2013-14,G,6-4,10,8,23,0.348,4,16,0.250,7,9,0.778,3,0.300,5,0.500,1,0.100,3,0.300,27,2.700,6
"Wiggins, Shivaughn",So.,2013-14,G,5-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wilson, Elijah",Fr.,2013-14,G,6-4,33,198,451,0.439,49,160,0.306,86,123,0.699,135,4.091,29,0.879,8,0.242,32,0.970,531,16.091,46
