name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Brandon, Drew",Jr.,2013-14,G,6-4,30,102,273,0.374,31,96,0.323,77,100,0.770,193,6.433,152,5.067,5,0.167,29,0.967,312,10.400,74
"Galgalo, Nate",---,2013-14,-,-,2,1,1,1.000,1,1,1.000,0,0,-,0,-,0,-,0,-,0,-,3,1.500,0
"Harvey, Tyler",So.,2013-14,G,6-4,31,206,465,0.443,109,252,0.433,156,174,0.897,129,4.161,84,2.710,9,0.290,35,1.129,677,21.839,66
"Hill, Daniel",So.,2013-14,G,5-9,17,5,17,0.294,3,9,0.333,9,15,0.600,5,0.294,11,0.647,0,-,5,0.294,22,1.294,15
"Jois, Venky",So.,2013-14,F,6-7,31,160,303,0.528,1,9,0.111,94,178,0.528,247,7.968,77,2.484,49,1.581,28,0.903,415,13.387,80
"Jorg, Frederik",So.,2013-14,F,7-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kelly, Parker",Jr.,2013-14,G,6-4,31,94,228,0.412,55,151,0.364,68,76,0.895,95,3.065,42,1.355,6,0.194,21,0.677,311,10.032,35
"Miljkovic, Ognjen",Fr.,2013-14,F,6-7,25,75,178,0.421,26,73,0.356,36,48,0.750,83,3.320,14,0.560,5,0.200,11,0.440,212,8.480,37
"Moon, Garrett",Jr.,2013-14,F,6-5,26,13,32,0.406,1,4,0.250,4,9,0.444,40,1.538,3,0.115,6,0.231,5,0.192,31,1.192,9
"Powell, Danny",Fr.,2013-14,F,6-6,3,4,7,0.571,1,3,0.333,1,2,0.500,3,1.000,0,-,1,0.333,2,0.667,10,3.333,1
"Reuter, Thomas",So.,2013-14,F,6-6,28,25,66,0.379,4,22,0.182,10,24,0.417,64,2.286,23,0.821,6,0.214,3,0.107,64,2.286,20
"Seiferth, Martin",Jr.,2013-14,F,6-10,31,102,153,0.667,0,0,-,21,60,0.350,171,5.516,6,0.194,44,1.419,7,0.226,225,7.258,30
"Van Hofe, Felix",Fr.,2013-14,F,6-5,28,26,68,0.382,19,57,0.333,9,14,0.643,18,0.643,5,0.179,2,0.071,1,0.036,80,2.857,6
"Washington, Sir",Fr.,2013-14,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
