name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Allen, Bryon",Sr.,2013-14,G,6-3,29,156,346,0.451,43,110,0.391,92,110,0.836,114,3.931,87,3.000,1,0.034,28,0.966,447,15.414,61
"Arledge, Jonathan",Sr.,2013-14,F,6-9,1,0,0,-,0,0,-,2,4,0.500,3,3.000,0,-,1,1.000,1,1.000,2,2.000,3
"Copes, Erik",Jr.,2013-14,F,6-8,25,50,86,0.581,0,0,-,10,27,0.370,139,5.560,8,0.320,28,1.120,12,0.480,110,4.400,30
"Edwards, Corey",Jr.,2013-14,G,5-11,25,19,64,0.297,9,33,0.273,21,26,0.808,39,1.560,34,1.360,0,-,11,0.440,68,2.720,25
"Gray, Vaughn",Jr.,2013-14,F,6-5,19,19,50,0.380,10,27,0.370,3,8,0.375,20,1.053,6,0.316,2,0.105,3,0.158,51,2.684,9
"Gujanicic, Marko",So.,2013-14,F,6-8,31,64,156,0.410,10,48,0.208,54,68,0.794,98,3.161,26,0.839,5,0.161,12,0.387,192,6.194,46
"Holloway, Patrick",So.,2013-14,G,6-1,31,98,245,0.400,51,124,0.411,24,34,0.706,47,1.516,21,0.677,0,-,13,0.419,271,8.742,19
"Jenkins, Jalen",Fr.,2013-14,F,6-7,31,76,155,0.490,0,2,0.000,70,101,0.693,186,6.000,42,1.355,31,1.000,25,0.806,222,7.161,61
"Moore, Marquise",Fr.,2013-14,G,6-1,26,36,89,0.404,0,0,-,29,37,0.784,62,2.385,69,2.654,16,0.615,14,0.538,101,3.885,40
"Okoloji, Anali",Jr.,2013-14,F,6-8,17,9,27,0.333,2,3,0.667,15,28,0.536,31,1.824,4,0.235,2,0.118,7,0.412,35,2.059,10
"Royal, Julian",Jr.,2013-14,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Rudy, Michael",So.,2013-14,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tate, Myles",So.,2013-14,G,5-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Williams, Johnny",Sr.,2013-14,F,6-8,31,67,139,0.482,0,0,-,38,61,0.623,112,3.613,17,0.548,17,0.548,11,0.355,172,5.548,37
"Wright, Sherrod",Sr.,2013-14,G,6-4,31,162,362,0.448,28,88,0.318,131,186,0.704,100,3.226,25,0.806,5,0.161,26,0.839,483,15.581,76
