name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abt, Taylor",Jr.,2013-14,F,6-8,32,29,64,0.453,5,18,0.278,9,19,0.474,79,2.469,3,0.094,7,0.219,6,0.188,72,2.250,25
"Alexander, Malachi",Fr.,2013-14,F,6-7,32,65,163,0.399,5,28,0.179,72,108,0.667,138,4.313,30,0.938,17,0.531,14,0.438,207,6.469,62
"Baker, Isaiah",So.,2013-14,F,6-8,5,0,0,-,0,0,-,0,0,-,1,0.200,0,-,0,-,0,-,0,-,1
"Burrell, Justin",Jr.,2013-14,G,5-9,29,89,224,0.397,40,111,0.360,44,53,0.830,52,1.793,71,2.448,0,-,19,0.655,262,9.034,50
"Champion, Robert",Fr.,2013-14,G,6-5,23,20,64,0.313,14,53,0.264,4,11,0.364,21,0.913,4,0.174,1,0.043,5,0.217,58,2.522,5
"Criswell, Riley",Fr.,2013-14,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dudzinski, Dave",Sr.,2013-14,F,6-9,32,176,371,0.474,26,69,0.377,114,151,0.755,240,7.500,19,0.594,23,0.719,22,0.688,492,15.375,62
"Green, Eric",So.,2013-14,G,6-4,32,97,213,0.455,7,33,0.212,47,70,0.671,127,3.969,70,2.188,15,0.469,53,1.656,248,7.750,50
"Hamilton, Cullen",So.,2013-14,G,6-3,18,50,136,0.368,29,80,0.363,19,23,0.826,32,1.778,16,0.889,0,-,10,0.556,148,8.222,15
"Husek, Matt",Fr.,2013-14,C,6-11,7,0,1,0.000,0,0,-,0,0,-,1,0.143,1,0.143,0,-,0,-,0,-,1
"Jayne, Chris",Jr.,2013-14,G,5-11,7,0,0,-,0,0,-,1,2,0.500,2,0.286,0,-,0,-,0,-,1,0.143,0
"Kerrigan, Patrick",Jr.,2013-14,F,6-6,7,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,1
"Miller, Malcolm",Jr.,2013-14,F,6-6,32,118,253,0.466,35,85,0.412,76,100,0.760,181,5.656,66,2.063,58,1.813,29,0.906,347,10.844,56
"Morgan, Christopher",So.,2013-14,F,6-7,13,3,4,0.750,0,0,-,0,0,-,5,0.385,1,0.077,0,-,1,0.077,6,0.462,1
"Reid, De'Vaughn",Jr.,2013-14,G,6-0,16,9,21,0.429,3,7,0.429,5,9,0.556,7,0.438,5,0.313,0,-,5,0.313,26,1.625,6
"Thompson, Anthony",Fr.,2013-14,G,5-10,30,66,166,0.398,37,90,0.411,107,139,0.770,65,2.167,75,2.500,1,0.033,27,0.900,276,9.200,35
