name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Badillo, Mitchell",So.,2013-14,G,5-10,27,70,147,0.476,19,48,0.396,56,72,0.778,94,3.481,117,4.333,0,-,32,1.185,215,7.963,49
"Baker, John",Fr.,2013-14,F,6-5,24,18,35,0.514,0,0,-,18,25,0.720,38,1.583,0,-,2,0.083,3,0.125,54,2.250,5
"Barry, Winslo",Jr.,2013-14,F,6-10,26,31,61,0.508,0,0,-,10,32,0.313,76,2.923,3,0.115,13,0.500,2,0.077,72,2.769,8
"Brock, Marcus",Fr.,2013-14,G,5-11,11,1,4,0.250,0,3,0.000,1,2,0.500,3,0.273,1,0.091,0,-,1,0.091,3,0.273,0
"Burmeister, Sam",Fr.,2013-14,G,6-5,26,92,217,0.424,52,127,0.409,49,70,0.700,69,2.654,48,1.846,1,0.038,18,0.692,285,10.962,46
"Hittle, Kyle",So.,2013-14,G,6-4,27,154,290,0.531,59,145,0.407,74,105,0.705,153,5.667,48,1.778,8,0.296,21,0.778,441,16.333,47
"Horton, Anthony",Sr.,2013-14,F,6-8,27,119,233,0.511,18,57,0.316,55,80,0.688,126,4.667,36,1.333,19,0.704,18,0.667,311,11.519,59
"Johnson, Phillip",Fr.,2013-14,G,6-4,22,6,16,0.375,0,0,-,2,2,1.000,4,0.182,3,0.136,1,0.045,0,-,14,0.636,3
"Livingston, Denzel",Jr.,2013-14,G,6-4,27,174,349,0.499,54,137,0.394,146,190,0.768,173,6.407,102,3.778,38,1.407,68,2.519,548,20.296,73
"Louwagie, Joseph",So.,2013-14,G,6-1,11,3,9,0.333,0,0,-,4,8,0.500,6,0.545,3,0.273,0,-,2,0.182,10,0.909,2
"Markolf, Ian",Sr.,2013-14,C,7-1,21,60,134,0.448,0,0,-,24,59,0.407,155,7.381,39,1.857,29,1.381,7,0.333,144,6.857,50
"Perez, Paul",Fr.,2013-14,G,5-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Phillipe, Justin",Jr.,2013-14,G,6-7,26,41,79,0.519,0,0,-,31,42,0.738,79,3.038,22,0.846,4,0.154,4,0.154,113,4.346,29
"Starkes, Chris",Fr.,2013-14,G,5-10,11,2,7,0.286,1,5,0.200,1,2,0.500,3,0.273,4,0.364,0,-,1,0.091,6,0.545,4
