name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bluford, K.J.",Jr.,2013-14,G,6-1,7,7,22,0.318,5,18,0.278,0,0,-,1,0.143,3,0.429,0,-,1,0.143,19,2.714,1
"Dorsey-Walker, Sherron",Fr.,2013-14,G,6-4,18,8,26,0.308,3,15,0.200,5,8,0.625,12,0.667,9,0.500,2,0.111,4,0.222,24,1.333,10
"Edozie, Daniel",Jr.,2013-14,F,6-8,19,8,12,0.667,0,0,-,4,9,0.444,30,1.579,2,0.105,8,0.421,1,0.053,20,1.053,2
"Ejim, Melvin",Sr.,2013-14,F,6-6,29,192,378,0.508,36,109,0.330,113,145,0.779,251,8.655,51,1.759,20,0.690,33,1.138,533,18.379,69
"Ellerman, Tyler",Sr.,2013-14,F,6-8,6,3,6,0.500,0,0,-,1,4,0.250,7,1.167,0,-,0,-,0,-,7,1.167,0
"Gibson, Percy",Jr.,2013-14,C,6-9,11,6,14,0.429,0,1,0.000,5,7,0.714,16,1.455,0,-,5,0.455,2,0.182,17,1.545,4
"Hogue, Dustin",Jr.,2013-14,F,6-6,31,117,212,0.552,20,56,0.357,76,118,0.644,268,8.645,29,0.935,20,0.645,24,0.774,330,10.645,29
"Kane, Deandre",Sr.,2013-14,G,6-4,31,177,360,0.492,33,89,0.371,136,214,0.636,207,6.677,179,5.774,7,0.226,40,1.290,523,16.871,89
"Long, Naz",So.,2013-14,G,6-4,31,72,170,0.424,53,135,0.393,17,26,0.654,46,1.484,37,1.194,2,0.065,5,0.161,214,6.903,13
"Morris, Monté",Fr.,2013-14,G,6-2,31,59,149,0.396,20,60,0.333,49,60,0.817,81,2.613,120,3.871,4,0.129,38,1.226,187,6.032,21
"Niang, Georges",So.,2013-14,F,6-7,31,197,417,0.472,43,137,0.314,68,94,0.723,135,4.355,112,3.613,20,0.645,21,0.677,505,16.290,70
"Palo, Bubu",Sr.,2013-14,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thomas, Matt",Fr.,2013-14,G,6-3,31,62,172,0.360,42,127,0.331,22,33,0.667,73,2.355,37,1.194,7,0.226,19,0.613,188,6.065,15
