name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Brown, Yonel",So.,2013-14,G,5-9,31,55,148,0.372,18,58,0.310,47,57,0.825,26,0.839,72,2.323,1,0.032,13,0.419,175,5.645,52
"Byers, Charlie",Jr.,2013-14,G,5-11,25,14,34,0.412,1,3,0.333,1,2,0.500,16,0.640,11,0.440,0,-,4,0.160,30,1.200,9
"Coleman, Orlando",So.,2013-14,F,6-5,30,120,231,0.519,18,53,0.340,33,57,0.579,185,6.167,43,1.433,15,0.500,24,0.800,291,9.700,62
"Drees, Kris",Sr.,2013-14,F,6-6,21,9,18,0.500,0,0,-,2,6,0.333,26,1.238,2,0.095,0,-,2,0.095,20,0.952,7
"Hamilton, Myles",So.,2013-14,G,6-1,24,52,133,0.391,11,44,0.250,33,44,0.750,58,2.417,56,2.333,1,0.042,21,0.875,148,6.167,54
"Jones, Jordan",Fr.,2013-14,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kouassi, Williy",Jr.,2013-14,C,6-10,31,57,106,0.538,0,0,-,29,63,0.460,131,4.226,9,0.290,35,1.129,4,0.129,143,4.613,39
"Love, Delbert",Jr.,2013-14,G,6-0,31,131,319,0.411,65,154,0.422,64,92,0.696,114,3.677,78,2.516,0,-,44,1.419,391,12.613,55
"McGhee, Drew",Sr.,2013-14,F,6-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Montgomery, Jordan",So.,2013-14,G,6-5,20,6,16,0.375,4,10,0.400,5,11,0.455,13,0.650,7,0.350,1,0.050,5,0.250,21,1.050,6
"Morena, Bernard",So.,2013-14,F,6-8,29,66,163,0.405,16,46,0.348,39,68,0.574,101,3.483,15,0.517,17,0.586,16,0.552,187,6.448,71
"Osemhen, Andrew",Sr.,2013-14,F,6-9,30,32,83,0.386,0,0,-,32,53,0.604,80,2.667,7,0.233,9,0.300,5,0.167,96,3.200,31
"Pruitt, Nigel",So.,2013-14,F,6-7,31,64,189,0.339,35,115,0.304,58,73,0.795,61,1.968,26,0.839,8,0.258,21,0.677,221,7.129,43
"Rucker, Nate",Jr.,2013-14,F,6-6,20,68,132,0.515,0,2,0.000,46,79,0.582,72,3.600,8,0.400,7,0.350,17,0.850,182,9.100,35
"Wozniak, Tanner",Jr.,2013-14,G,6-5,28,34,104,0.327,24,74,0.324,19,23,0.826,21,0.750,10,0.357,1,0.036,6,0.214,111,3.964,22
