name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Agau, Akoy",Fr.,2013-14,F,6-8,17,6,8,0.750,0,1,0.000,3,10,0.300,20,1.176,1,0.059,5,0.294,1,0.059,15,0.882,7
"Avare, Dillon",Fr.,2013-14,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Behanan, Chane",Jr.,2013-14,F,6-6,12,35,55,0.636,0,0,-,21,47,0.447,75,6.250,12,1.000,3,0.250,11,0.917,91,7.583,16
"Blackshear, Wayne",Jr.,2013-14,F,6-5,31,83,195,0.426,44,106,0.415,58,77,0.753,99,3.194,24,0.774,19,0.613,30,0.968,268,8.645,18
"Gill, Anton",Fr.,2013-14,G,6-3,23,11,34,0.324,6,25,0.240,4,12,0.333,16,0.696,5,0.217,0,-,4,0.174,32,1.391,3
"Hancock, Luke",Sr.,2013-14,F,6-6,31,104,254,0.409,56,164,0.341,106,130,0.815,81,2.613,67,2.161,6,0.194,27,0.871,370,11.935,43
"Harrell, Montrezl",So.,2013-14,F,6-8,32,192,314,0.611,2,3,0.667,62,131,0.473,263,8.219,38,1.188,41,1.281,37,1.156,448,14.000,45
"Henderson, Tim",Sr.,2013-14,G,6-2,30,20,46,0.435,13,36,0.361,4,6,0.667,25,0.833,16,0.533,0,-,9,0.300,57,1.900,4
"Jones, Chris",Jr.,2013-14,G,5-10,28,105,254,0.413,38,102,0.373,47,62,0.758,61,2.179,83,2.964,2,0.071,65,2.321,295,10.536,42
"Levitch, David",Fr.,2013-14,G,6-3,17,4,15,0.267,3,8,0.375,5,8,0.625,6,0.353,3,0.176,0,-,1,0.059,16,0.941,3
"Mathiang, Mangok",Fr.,2013-14,C,6-10,32,44,81,0.543,0,0,-,37,59,0.627,118,3.688,13,0.406,43,1.344,10,0.313,125,3.906,23
"Rozier, Terry",Fr.,2013-14,G,6-1,32,87,213,0.408,35,93,0.376,37,52,0.712,103,3.219,61,1.906,2,0.063,34,1.063,246,7.688,18
"Smith, Russ",Sr.,2013-14,G,6-0,32,189,402,0.470,62,158,0.392,120,170,0.706,110,3.438,153,4.781,3,0.094,65,2.031,560,17.500,86
"Van Treese, Stephan",Sr.,2013-14,C,6-10,32,38,59,0.644,0,0,-,13,25,0.520,175,5.469,21,0.656,26,0.813,31,0.969,89,2.781,18
"Ware, Kevin",Jr.,2013-14,G,6-2,9,6,16,0.375,0,2,0.000,3,6,0.500,5,0.556,3,0.333,1,0.111,3,0.333,15,1.667,6
