name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Blackwell, C.J.",So.,2013-14,F,6-5,28,66,171,0.386,25,84,0.298,8,11,0.727,62,2.214,21,0.750,6,0.214,14,0.500,165,5.893,26
"Dickinson, Ben",So.,2013-14,F,6-9,19,71,133,0.534,0,2,0.000,19,29,0.655,68,3.579,23,1.211,5,0.263,9,0.474,161,8.474,18
"Egbeyemi, Ayodeji",Sr.,2013-14,G,6-4,8,23,51,0.451,2,9,0.222,10,14,0.714,32,4.000,11,1.375,2,0.250,4,0.500,58,7.250,13
"Erondu, Alozie",Jr.,2013-14,G,6-3,11,2,4,0.500,0,0,-,0,0,-,7,0.636,0,-,1,0.091,0,-,4,0.364,0
"Flint, Chase",Jr.,2013-14,G,6-1,19,31,68,0.456,13,38,0.342,10,15,0.667,53,2.789,40,2.105,4,0.211,17,0.895,85,4.474,18
"Heller, Max",So.,2013-14,G,5-10,12,1,6,0.167,1,3,0.333,2,3,0.667,2,0.167,8,0.667,0,-,4,0.333,5,0.417,4
"Ireland, Anthony",Sr.,2013-14,G,5-10,32,191,469,0.407,41,133,0.308,170,208,0.817,119,3.719,171,5.344,3,0.094,52,1.625,593,18.531,90
"Jackson, Nino",Fr.,2013-14,G,6-2,4,4,18,0.222,1,7,0.143,2,3,0.667,8,2.000,4,1.000,1,0.250,4,1.000,11,2.750,3
"Levin, Gabe",Fr.,2013-14,F,6-7,29,108,259,0.417,10,41,0.244,96,126,0.762,206,7.103,26,0.897,34,1.172,20,0.690,322,11.103,50
"Mendy, Blair",Fr.,2013-14,G,6-3,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Mornar, Marin",So.,2013-14,F,6-9,32,35,60,0.583,2,9,0.222,17,23,0.739,94,2.938,13,0.406,35,1.094,7,0.219,89,2.781,18
"Okonji, Godwin",Sr.,2013-14,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Osborne, Alex",Sr.,2013-14,F,6-6,32,81,159,0.509,0,0,-,40,73,0.548,171,5.344,15,0.469,15,0.469,38,1.188,202,6.313,32
"Payne, Evan",Fr.,2013-14,G,6-2,32,171,393,0.435,38,110,0.345,117,139,0.842,87,2.719,46,1.438,6,0.188,42,1.313,497,15.531,87
"Siame, Patson",Fr.,2013-14,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Stover, Nick",So.,2013-14,F,6-6,32,54,125,0.432,8,43,0.186,37,49,0.755,63,1.969,26,0.813,6,0.188,16,0.500,153,4.781,21
