name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bento, James",Fr.,2013-14,F,6-6,12,2,6,0.333,0,0,-,0,0,-,9,0.750,1,0.083,0,-,0,-,4,0.333,0
"Brooks, DJ",Fr.,2013-14,G,5-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Brown, Monty",Sr.,2013-14,C,6-11,33,55,82,0.671,0,0,-,40,52,0.769,81,2.455,4,0.121,13,0.394,2,0.061,150,4.545,25
"Brown, Lawrence",So.,2013-14,G,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bryan, Jibri",So.,2013-14,G,6-3,34,39,105,0.371,25,73,0.342,25,37,0.676,56,1.647,15,0.441,1,0.029,9,0.265,128,3.765,23
"Canevari, Kevin",Sr.,2013-14,G,5-11,34,17,40,0.425,11,21,0.524,8,8,1.000,18,0.529,59,1.735,0,-,15,0.441,53,1.559,20
"Coursey, Daniel",Sr.,2013-14,F,6-10,34,144,250,0.576,0,0,-,50,69,0.725,225,6.618,13,0.382,71,2.088,12,0.353,338,9.941,27
"Gollon, Jake",Sr.,2013-14,F,6-6,34,92,207,0.444,19,52,0.365,63,84,0.750,154,4.529,88,2.588,6,0.176,33,0.971,266,7.824,62
"Hall, Langston",Sr.,2013-14,G,6-4,34,143,361,0.396,82,209,0.392,132,154,0.857,107,3.147,190,5.588,5,0.147,52,1.529,500,14.706,81
"Hallice, T.J.",Jr.,2013-14,F,6-9,34,41,68,0.603,1,6,0.167,16,31,0.516,84,2.471,8,0.235,13,0.382,10,0.294,99,2.912,18
"Leonard, Phillip",So.,2013-14,G,6-2,30,36,82,0.439,4,18,0.222,52,86,0.605,43,1.433,17,0.567,0,-,6,0.200,128,4.267,16
"Mosser, John",Fr.,2013-14,G,6-4,9,0,7,0.000,0,4,0.000,3,4,0.750,8,0.889,1,0.111,0,-,0,-,3,0.333,1
"Moten, Darious",Jr.,2013-14,F,6-6,33,62,109,0.569,7,23,0.304,34,54,0.630,59,1.788,25,0.758,11,0.333,5,0.152,165,5.000,19
"Nwamu, Ike",So.,2013-14,G,6-5,33,87,183,0.475,18,41,0.439,76,103,0.738,97,2.939,34,1.030,9,0.273,21,0.636,268,8.121,58
"Panaggio, Matt",Fr.,2013-14,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thomas, Bud",Sr.,2013-14,F,6-6,34,120,259,0.463,66,169,0.391,5,13,0.385,139,4.088,65,1.912,13,0.382,22,0.647,311,9.147,32
"White, Jr., Anthony",Sr.,2013-14,G,6-2,34,95,204,0.466,44,105,0.419,48,59,0.814,84,2.471,39,1.147,1,0.029,18,0.529,282,8.294,19
