name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ahanmisi, Maverick",Sr.,2013-14,G,6-2,23,15,41,0.366,6,17,0.353,11,17,0.647,26,1.130,15,0.652,1,0.043,5,0.217,47,2.043,13
"Baranowski, Jasen",---,2013-14,G,-,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Buggs, Charles",Fr.,2013-14,F,6-8,10,8,10,0.800,5,5,1.000,0,0,-,11,1.100,2,0.200,3,0.300,2,0.200,21,2.100,4
"Eliason, Elliott",Jr.,2013-14,C,6-11,32,71,138,0.514,0,0,-,34,60,0.567,221,6.906,28,0.875,63,1.969,19,0.594,176,5.500,32
"Ellenson, Wally",So.,2013-14,G,6-6,9,7,22,0.318,2,9,0.222,0,1,0.000,12,1.333,2,0.222,0,-,1,0.111,16,1.778,3
"Hollins, Austin",Sr.,2013-14,G,6-4,32,132,306,0.431,49,152,0.322,66,84,0.786,174,5.438,74,2.313,18,0.563,61,1.906,379,11.844,56
"Hollins, Andre",Jr.,2013-14,G,6-1,30,123,300,0.410,60,155,0.387,125,150,0.833,104,3.467,73,2.433,3,0.100,24,0.800,431,14.367,56
"King, Joey",So.,2013-14,F,6-9,31,66,146,0.452,16,55,0.291,44,57,0.772,82,2.645,22,0.710,9,0.290,11,0.355,192,6.194,28
"Mathieu, Deandre",Jr.,2013-14,G,5-9,32,138,273,0.505,15,33,0.455,91,121,0.752,93,2.906,141,4.406,3,0.094,54,1.688,382,11.938,84
"McNeil, Daquein",Fr.,2013-14,G,6-3,24,15,41,0.366,3,12,0.250,3,7,0.429,27,1.125,11,0.458,1,0.042,8,0.333,36,1.500,11
"Osenieks, Oto",Jr.,2013-14,F,6-8,29,60,134,0.448,13,43,0.302,25,39,0.641,81,2.793,21,0.724,9,0.310,19,0.655,158,5.448,24
"Shell, Kendal",Jr.,2013-14,G,6-0,7,0,2,0.000,0,1,0.000,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Smith, Malik",Sr.,2013-14,G,6-2,31,75,208,0.361,55,160,0.344,49,60,0.817,54,1.742,34,1.097,3,0.097,20,0.645,254,8.194,24
"Walker, Maurice",Jr.,2013-14,F,6-10,26,75,126,0.595,0,0,-,52,77,0.675,104,4.000,19,0.731,24,0.923,18,0.692,202,7.769,37
