name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Barnard, Hayden",Fr.,2013-14,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bello, Deuce",Jr.,2013-14,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Brown, Jabari",Jr.,2013-14,G,6-5,32,186,395,0.471,77,184,0.418,188,235,0.800,145,4.531,64,2.000,5,0.156,22,0.688,637,19.906,75
"Clark, Wes",Fr.,2013-14,G,6-0,32,42,115,0.365,21,57,0.368,31,49,0.633,70,2.188,68,2.125,2,0.063,23,0.719,136,4.250,53
"Clarkson, Jordan",Jr.,2013-14,G,6-5,32,194,430,0.451,30,104,0.288,155,187,0.829,126,3.938,109,3.406,6,0.188,34,1.063,573,17.906,83
"Criswell, Tony",Sr.,2013-14,F,6-9,28,39,91,0.429,5,19,0.263,25,30,0.833,95,3.393,6,0.214,2,0.071,5,0.179,108,3.857,21
"Feldmann, Danny",Jr.,2013-14,F,6-9,9,0,2,0.000,0,1,0.000,0,0,-,1,0.111,1,0.111,1,0.111,0,-,0,-,0
"Haith, Corey",So.,2013-14,G,5-10,6,1,1,1.000,1,1,1.000,0,0,-,0,-,0,-,0,-,0,-,3,0.500,2
"Jankovic, Stefan",So.,2013-14,F,6-11,3,3,5,0.600,2,3,0.667,2,5,0.400,8,2.667,2,0.667,0,-,1,0.333,10,3.333,1
"Jones, Torren",Fr.,2013-14,F,6-8,27,20,38,0.526,0,0,-,12,14,0.857,57,2.111,5,0.185,3,0.111,10,0.370,52,1.926,14
"Post, Keanau",Jr.,2013-14,F,6-11,27,17,28,0.607,0,0,-,4,16,0.250,46,1.704,0,-,3,0.111,1,0.037,38,1.407,9
"Price, Zach",Jr.,2013-14,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Rector, Shane",Fr.,2013-14,G,6-1,22,0,8,0.000,0,2,0.000,10,13,0.769,7,0.318,3,0.136,0,-,3,0.136,10,0.455,10
"Rosburg, Ryan",So.,2013-14,F,6-10,32,62,87,0.713,0,0,-,29,53,0.547,134,4.188,10,0.313,20,0.625,7,0.219,153,4.781,35
"Ross, Earnest",Sr.,2013-14,G,6-5,32,128,316,0.405,52,171,0.304,136,176,0.773,197,6.156,44,1.375,12,0.375,40,1.250,444,13.875,58
"Williams III, Johnathan",Fr.,2013-14,F,6-9,32,70,153,0.458,4,10,0.400,48,87,0.552,213,6.656,24,0.750,52,1.625,11,0.344,192,6.000,35
