name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Blackman, Emile",Fr.,2013-14,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bodie, Aaron",Fr.,2013-14,F,6-7,2,0,0,-,0,0,-,0,0,-,1,0.500,0,-,0,-,0,-,0,-,0
"Davis, Karonn",Fr.,2013-14,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dubovitskiy, Alex",Fr.,2013-14,G,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Fleming, Thomas",So.,2013-14,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Fowler, Cameron",Fr.,2013-14,G,6-0,30,22,78,0.282,3,20,0.150,4,14,0.286,50,1.667,34,1.133,0,-,21,0.700,51,1.700,30
"Harris, Ravon",So.,2013-14,G,6-5,33,67,122,0.549,5,12,0.417,66,103,0.641,138,4.182,19,0.576,5,0.152,22,0.667,205,6.212,54
"Jordan, Marvin",Sr.,2013-14,G,5-11,31,101,271,0.373,59,183,0.322,41,53,0.774,69,2.226,65,2.097,1,0.032,34,1.097,302,9.742,43
"Mason, Antoine",Jr.,2013-14,G,6-3,33,269,612,0.440,48,168,0.286,260,357,0.728,118,3.576,51,1.545,5,0.152,40,1.212,846,25.636,91
"McCall, Tahjere",So.,2013-14,G,6-4,27,71,172,0.413,2,24,0.083,58,79,0.734,81,3.000,53,1.963,7,0.259,34,1.259,202,7.481,59
"Myers, Wesley",Fr.,2013-14,G,6-2,33,78,198,0.394,20,63,0.317,44,66,0.667,92,2.788,39,1.182,6,0.182,21,0.636,220,6.667,47
"Reid, Dominique",Fr.,2013-14,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Snowden, Ramone",Fr.,2013-14,F,6-5,33,82,192,0.427,29,81,0.358,73,105,0.695,182,5.515,38,1.152,11,0.333,31,0.939,266,8.061,56
"Thomas, Joseph",Jr.,2013-14,F,6-7,33,51,93,0.548,0,0,-,9,35,0.257,87,2.636,14,0.424,27,0.818,7,0.212,111,3.364,23
"Varoli, David",Fr.,2013-14,G,6-0,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Ware, Marcus",Sr.,2013-14,F,6-8,33,95,211,0.450,0,3,0.000,91,135,0.674,189,5.727,17,0.515,9,0.273,20,0.606,281,8.515,41
