name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bennett, D.J.",Jr.,2013-14,F,6-8,31,32,56,0.571,0,0,-,22,31,0.710,64,2.065,2,0.065,25,0.806,6,0.194,86,2.774,17
"Booker, Frank",Fr.,2013-14,G,6-4,31,48,131,0.366,41,111,0.369,24,36,0.667,48,1.548,17,0.548,5,0.161,13,0.419,161,5.194,18
"Clark, Cameron",Sr.,2013-14,F,6-7,32,181,390,0.464,34,80,0.425,95,119,0.798,177,5.531,36,1.125,13,0.406,33,1.031,491,15.344,43
"Cole, C.J.",Fr.,2013-14,F,6-7,10,1,5,0.200,0,1,0.000,2,6,0.333,11,1.100,0,-,0,-,1,0.100,4,0.400,1
"Cousins, Isaiah",So.,2013-14,G,6-4,32,119,269,0.442,34,89,0.382,75,93,0.806,132,4.125,68,2.125,11,0.344,37,1.156,347,10.844,52
"Fraschilla, James",Jr.,2013-14,G,5-10,5,0,0,-,0,0,-,4,6,0.667,2,0.400,1,0.200,0,-,1,0.200,4,0.800,3
"Hamilton, Keshaun",Jr.,2013-14,C,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Harper, Daniel",Fr.,2013-14,G,6-1,5,0,0,-,0,0,-,0,0,-,0,-,1,0.200,0,-,0,-,0,-,0
"Hield, Buddy",So.,2013-14,G,6-4,32,192,426,0.451,89,224,0.397,63,84,0.750,142,4.438,61,1.906,5,0.156,46,1.438,536,16.750,59
"Hornbeak, Je'Lon",So.,2013-14,G,6-4,28,47,117,0.402,13,57,0.228,42,55,0.764,50,1.786,71,2.536,2,0.071,22,0.786,149,5.321,38
"Mankin, Austin",Fr.,2013-14,F,6-7,9,2,4,0.500,2,2,1.000,0,0,-,4,0.444,3,0.333,0,-,0,-,6,0.667,0
"Neal, Tyler",Sr.,2013-14,F,6-7,31,65,142,0.458,32,76,0.421,38,54,0.704,104,3.355,18,0.581,10,0.323,8,0.258,200,6.452,26
"Slate, Trey",Fr.,2013-14,G,6-1,7,2,4,0.500,0,1,0.000,0,0,-,1,0.143,0,-,0,-,0,-,4,0.571,2
"Spangler, Ryan",So.,2013-14,F,6-8,32,114,192,0.594,3,11,0.273,82,119,0.689,300,9.375,42,1.313,30,0.938,18,0.563,313,9.781,36
"Woodard, Jordan",Fr.,2013-14,G,6-0,32,81,226,0.358,25,70,0.357,141,181,0.779,67,2.094,149,4.656,4,0.125,34,1.063,328,10.250,68
