name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bagtas, Tony",Fr.,2013-14,G,5-11,20,16,45,0.356,3,11,0.273,6,8,0.750,23,1.150,40,2.000,1,0.050,13,0.650,41,2.050,25
"Brooks, Henry",Jr.,2013-14,F,6-8,28,53,115,0.461,0,1,0.000,10,16,0.625,79,2.821,15,0.536,15,0.536,16,0.571,116,4.143,31
"Cairns, Keelan",Jr.,2013-14,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Crocker, Camryn",Jr.,2013-14,G,6-3,6,1,3,0.333,0,1,0.000,1,3,0.333,2,0.333,5,0.833,0,-,1,0.167,3,0.500,4
"Dougherty, Fran",Sr.,2013-14,F,6-8,28,143,259,0.552,6,19,0.316,64,97,0.660,204,7.286,30,1.071,20,0.714,27,0.964,356,12.714,57
"Esprit, Simeon",Jr.,2013-14,G,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gunter, Cameron",Sr.,2013-14,F,6-8,27,10,24,0.417,0,0,-,9,18,0.500,34,1.259,3,0.111,8,0.296,3,0.111,29,1.074,14
"Harrell, Julian",So.,2013-14,G,6-5,12,24,61,0.393,6,18,0.333,7,18,0.389,36,3.000,22,1.833,7,0.583,5,0.417,61,5.083,17
"Hicks, Tony",So.,2013-14,G,6-1,27,141,339,0.416,37,116,0.319,84,110,0.764,71,2.630,78,2.889,2,0.074,17,0.630,403,14.926,85
"Howard, Matt",Fr.,2013-14,G,6-4,17,13,27,0.481,1,2,0.500,9,19,0.474,27,1.588,8,0.471,3,0.176,6,0.353,36,2.118,5
"Jackson-Cartwright, Miles",Sr.,2013-14,G,6-3,28,98,234,0.419,45,120,0.375,83,102,0.814,75,2.679,94,3.357,4,0.143,30,1.071,324,11.571,69
"Jok, Dau",Sr.,2013-14,G,6-4,26,18,60,0.300,13,49,0.265,5,7,0.714,32,1.231,5,0.192,1,0.038,4,0.154,54,2.077,11
"Jones, Dylan",Fr.,2013-14,F,6-8,21,14,34,0.412,0,0,-,6,20,0.300,26,1.238,1,0.048,4,0.190,2,0.095,34,1.619,7
"Lewis, Jamal",So.,2013-14,G,6-0,26,22,62,0.355,11,33,0.333,17,25,0.680,37,1.423,44,1.692,1,0.038,15,0.577,72,2.769,29
"Louis, Greg",Jr.,2013-14,F,6-7,8,13,19,0.684,3,5,0.600,8,15,0.533,23,2.875,1,0.125,8,1.000,4,0.500,37,4.625,8
"Lucas-Perry, Patrick",Jr.,2013-14,G,5-11,5,2,11,0.182,1,9,0.111,3,4,0.750,5,1.000,2,0.400,0,-,1,0.200,8,1.600,3
"Nelson-Henry, Darien",So.,2013-14,C,6-11,24,92,156,0.590,0,0,-,70,104,0.673,127,5.292,21,0.875,22,0.917,9,0.375,254,10.583,49
"Poplawski, Matt",---,2013-14,-,-,4,0,2,0.000,0,2,0.000,2,3,0.667,0,-,0,-,0,-,0,-,2,0.500,1
"Rennard, Steve",Sr.,2013-14,G,6-2,22,24,64,0.375,14,48,0.292,19,25,0.760,34,1.545,37,1.682,0,-,10,0.455,81,3.682,26
"Troutt, Preston",Fr.,2013-14,G,5-11,4,0,3,0.000,0,2,0.000,0,0,-,1,0.250,2,0.500,0,-,0,-,0,-,0
"Winfield Jr., David",Fr.,2013-14,C,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
