name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aaman, Mike",So.,2013-14,F,6-7,5,7,14,0.500,0,0,-,1,1,1.000,12,2.400,1,0.200,1,0.200,0,-,15,3.000,3
"Biruta, Gilvydas",Jr.,2013-14,F,6-8,32,132,264,0.500,6,32,0.188,69,103,0.670,224,7.000,43,1.344,23,0.719,11,0.344,339,10.594,66
"Buchanan, T.J.",Jr.,2013-14,G,6-3,32,56,122,0.459,4,18,0.222,69,106,0.651,102,3.188,80,2.500,7,0.219,22,0.688,185,5.781,47
"Butler, Matthew",Fr.,2013-14,G,6-2,23,10,30,0.333,7,19,0.368,0,0,-,8,0.348,6,0.261,0,-,2,0.087,27,1.174,5
"Hare, Jordan",So.,2013-14,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kemp, A.J.",Sr.,2013-14,G,6-2,7,0,1,0.000,0,0,-,1,2,0.500,3,0.429,0,-,0,-,0,-,1,0.143,1
"Martin, Hassan",Fr.,2013-14,F,6-7,32,82,153,0.536,1,11,0.091,38,71,0.535,182,5.688,14,0.438,79,2.469,12,0.375,203,6.344,28
"Matthews, E.C.",Fr.,2013-14,G,6-5,32,150,356,0.421,47,135,0.348,110,149,0.738,138,4.313,75,2.344,22,0.688,30,0.938,457,14.281,76
"Minnis, Deshon",So.,2013-14,G,6-3,21,35,78,0.449,7,14,0.500,21,39,0.538,49,2.333,52,2.476,2,0.095,15,0.714,98,4.667,42
"Munford, Xavier",Sr.,2013-14,G,6-2,32,184,458,0.402,62,190,0.326,111,157,0.707,128,4.000,78,2.438,13,0.406,36,1.125,541,16.906,88
"Nazarko, Jonathan",Jr.,2013-14,G,6-2,7,0,2,0.000,0,2,0.000,0,0,-,1,0.143,0,-,0,-,0,-,0,-,0
"Onyekaba, Ifeanyi",So.,2013-14,F,6-8,31,33,64,0.516,0,0,-,32,59,0.542,100,3.226,2,0.065,16,0.516,7,0.226,98,3.161,26
"Plunkett, Shane",So.,2013-14,G,6-3,5,0,1,0.000,0,1,0.000,0,0,-,2,0.400,0,-,0,-,0,-,0,-,1
"Powell, Mike",Jr.,2013-14,G,5-11,9,6,22,0.273,5,14,0.357,6,8,0.750,14,1.556,6,0.667,0,-,2,0.222,23,2.556,15
"Reischel, Jarelle",So.,2013-14,F,6-6,32,59,138,0.428,13,38,0.342,49,82,0.598,82,2.563,28,0.875,3,0.094,21,0.656,180,5.625,39
"Youncofski, Eric",So.,2013-14,G,5-11,6,0,0,-,0,0,-,2,2,1.000,0,-,0,-,0,-,0,-,2,0.333,0
