name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bender, Drew",Fr.,2013-14,G,6-5,26,25,78,0.321,9,45,0.200,9,16,0.563,37,1.423,19,0.731,3,0.115,9,0.346,68,2.615,24
"Burbach, Joey",Fr.,2013-14,G,6-5,5,1,3,0.333,1,2,0.500,0,1,0.000,1,0.200,0,-,0,-,1,0.200,3,0.600,0
"Davis, Denzel",Fr.,2013-14,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Drone, Andrew",Fr.,2013-14,C,6-10,30,46,86,0.535,0,0,-,16,37,0.432,57,1.900,2,0.067,8,0.267,2,0.067,108,3.600,15
"Eggers, Hunter",Fr.,2013-14,G,6-0,4,0,2,0.000,0,1,0.000,0,0,-,1,0.250,1,0.250,0,-,0,-,0,-,0
"Firozgary, Bahrom",Sr.,2013-14,F,6-8,14,4,8,0.500,0,0,-,2,4,0.500,11,0.786,1,0.071,0,-,0,-,10,0.714,7
"Gearhart, Seth",Jr.,2013-14,F,6-7,30,64,181,0.354,39,121,0.322,38,55,0.691,103,3.433,41,1.367,17,0.567,22,0.733,205,6.833,42
"Guercy, Max",So.,2013-14,G,5-9,30,82,236,0.347,37,122,0.303,78,97,0.804,99,3.300,97,3.233,0,-,22,0.733,279,9.300,54
"Jackson, Marcus",Fr.,2013-14,G,6-3,27,56,174,0.322,26,99,0.263,44,59,0.746,59,2.185,87,3.222,2,0.074,26,0.963,182,6.741,53
"Kapic, Nizar",Fr.,2013-14,F,6-6,25,23,73,0.315,13,42,0.310,6,10,0.600,26,1.040,11,0.440,2,0.080,6,0.240,65,2.600,12
"Obi, Sean",Fr.,2013-14,F,6-9,30,140,237,0.591,0,0,-,62,114,0.544,279,9.300,24,0.800,22,0.733,15,0.500,342,11.400,59
"Peera, Dan",Jr.,2013-14,G,6-0,25,3,13,0.231,2,9,0.222,0,2,0.000,14,0.560,8,0.320,0,-,0,-,8,0.320,5
"Ramljak, Austin",Sr.,2013-14,G,6-3,29,101,256,0.395,89,225,0.396,44,64,0.688,71,2.448,36,1.241,1,0.034,19,0.655,335,11.552,34
"Washington, Keith",So.,2013-14,G,6-1,26,71,186,0.382,21,67,0.313,38,59,0.644,63,2.423,67,2.577,1,0.038,13,0.500,201,7.731,70
"Wilson, Ross",So.,2013-14,F,6-7,26,21,49,0.429,0,0,-,5,8,0.625,43,1.654,20,0.769,1,0.038,5,0.192,47,1.808,16
