name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Craig, Cameron",Jr.,2013-14,G,6-0,20,9,29,0.310,1,9,0.111,7,9,0.778,17,0.850,18,0.900,1,0.050,10,0.500,26,1.300,22
"Davis, Kris",Jr.,2013-14,G,6-2,29,94,214,0.439,35,89,0.393,52,79,0.658,91,3.138,68,2.345,2,0.069,16,0.552,275,9.483,59
"Fiorentinos, Grant",So.,2013-14,C,6-10,24,16,37,0.432,0,0,-,4,13,0.308,27,1.125,2,0.083,3,0.125,4,0.167,36,1.500,10
"Jackson, Keaton",Jr.,2013-14,F,6-10,31,111,150,0.740,2,3,0.667,64,94,0.681,154,4.968,13,0.419,65,2.097,9,0.290,288,9.290,37
"Johnson, Tim",Sr.,2013-14,G,6-3,30,78,172,0.453,17,54,0.315,42,57,0.737,71,2.367,32,1.067,12,0.400,25,0.833,215,7.167,43
"Lester, Ray",Sr.,2013-14,F,6-6,31,64,137,0.467,0,2,0.000,48,104,0.462,125,4.032,11,0.355,6,0.194,23,0.742,176,5.677,48
"Messer, Michael",Jr.,2013-14,G,6-5,18,44,98,0.449,10,31,0.323,33,47,0.702,52,2.889,23,1.278,2,0.111,12,0.667,131,7.278,23
"Nunn, Rozell",Jr.,2013-14,G,6-4,31,106,221,0.480,26,67,0.388,32,43,0.744,128,4.129,33,1.065,0,-,24,0.774,270,8.710,44
"Okunrinboye, Akintonye",Jr.,2013-14,G,5-11,1,1,2,0.500,0,1,0.000,0,1,0.000,0,-,0,-,0,-,1,1.000,2,2.000,0
"Salecich, Christian",Sr.,2013-14,G,6-3,31,74,177,0.418,40,111,0.360,22,32,0.688,65,2.097,70,2.258,1,0.032,22,0.710,210,6.774,35
"Scheer, Keaton",Jr.,2013-14,G,6-5,3,1,3,0.333,1,2,0.500,0,0,-,1,0.333,1,0.333,1,0.333,0,-,3,1.000,1
"Stewart, Donivine",So.,2013-14,G,6-0,31,132,299,0.441,43,115,0.374,71,90,0.789,92,2.968,139,4.484,1,0.032,50,1.613,378,12.194,62
"Wiltz, Maurice",Jr.,2013-14,G,6-2,30,76,176,0.432,48,106,0.453,54,76,0.711,54,1.800,25,0.833,0,-,16,0.533,254,8.467,37
