name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Agbeko, Reggie",Fr.,2013-14,F,6-7,17,13,17,0.765,0,0,-,2,7,0.286,24,1.412,2,0.118,1,0.059,1,0.059,28,1.647,6
"Barnett, Jake",Sr.,2013-14,F,6-5,31,47,140,0.336,36,113,0.319,21,35,0.600,90,2.903,35,1.129,7,0.226,22,0.710,151,4.871,30
"Crawford, Mike",Fr.,2013-14,G,6-4,24,17,43,0.395,9,21,0.429,5,7,0.714,14,0.583,10,0.417,0,-,4,0.167,48,2.000,11
"Eagleton, Austin",---,2013-14,-,-,5,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,2
"Evans, Dwayne",Sr.,2013-14,F,6-6,31,150,303,0.495,3,15,0.200,130,174,0.747,198,6.387,40,1.290,18,0.581,38,1.226,433,13.968,74
"Glaze, Grandy",Jr.,2013-14,F,6-6,31,52,108,0.481,0,0,-,24,34,0.706,153,4.935,10,0.323,10,0.323,13,0.419,128,4.129,29
"Jett, Jordair",Sr.,2013-14,G,6-1,31,152,309,0.492,7,32,0.219,118,189,0.624,122,3.935,145,4.677,17,0.548,46,1.484,429,13.839,86
"Lancona, Tanner",Fr.,2013-14,F,6-8,18,12,27,0.444,3,10,0.300,9,12,0.750,24,1.333,3,0.167,3,0.167,2,0.111,36,2.000,4
"Lepak, Joey",So.,2013-14,G,6-1,3,0,1,0.000,0,1,0.000,0,0,-,0,-,1,0.333,0,-,0,-,0,-,0
"Loe, Rob",Sr.,2013-14,F,6-11,31,107,243,0.440,34,116,0.293,62,81,0.765,170,5.484,62,2.000,40,1.290,30,0.968,310,10.000,46
"Manning, John",Jr.,2013-14,C,6-11,29,27,54,0.500,1,4,0.250,13,25,0.520,44,1.517,6,0.207,31,1.069,8,0.276,68,2.345,16
"McBroom, Austin",So.,2013-14,G,5-9,31,72,204,0.353,44,124,0.355,56,62,0.903,62,2.000,55,1.774,1,0.032,22,0.710,244,7.871,43
"McCall Jr., Mike",Sr.,2013-14,G,6-0,31,102,248,0.411,37,111,0.333,56,74,0.757,116,3.742,71,2.290,3,0.097,43,1.387,297,9.581,38
"Simpson, Royce",---,2013-14,-,-,3,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Yacoubou, Achraf",Jr.,2013-14,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
