name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anderson, Christopher",Jr.,2013-14,G,5-7,32,98,241,0.407,38,87,0.437,86,130,0.662,123,3.844,189,5.906,2,0.063,59,1.844,320,10.000,84
"Bailey, Brett",Fr.,2013-14,F,6-6,32,33,88,0.375,6,18,0.333,15,39,0.385,62,1.938,7,0.219,3,0.094,8,0.250,87,2.719,13
"Davis, Mike",Sr.,2013-14,G,6-2,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Dee, Johnny",Jr.,2013-14,G,6-0,32,170,395,0.430,89,212,0.420,107,114,0.939,79,2.469,37,1.156,0,-,35,1.094,536,16.750,43
"Fajemisin, Simi",Jr.,2013-14,C,6-9,32,28,55,0.509,0,0,-,22,38,0.579,79,2.469,4,0.125,16,0.500,9,0.281,78,2.438,25
"Greenwalt, Forrest",Fr.,2013-14,G,5-9,3,2,2,1.000,0,0,-,0,0,-,1,0.333,0,-,0,-,0,-,4,1.333,0
"Jacobs, Thomas",Jr.,2013-14,F,6-6,32,28,64,0.438,0,0,-,27,40,0.675,100,3.125,11,0.344,8,0.250,17,0.531,83,2.594,15
"Kerr, Nick",So.,2013-14,G,6-3,19,9,23,0.391,9,18,0.500,0,0,-,2,0.105,3,0.158,0,-,1,0.053,27,1.421,6
"Kok, Jito",So.,2013-14,C,6-9,32,52,106,0.491,0,1,0.000,33,74,0.446,138,4.313,10,0.313,56,1.750,7,0.219,137,4.281,46
"Kramer, Dennis",Sr.,2013-14,F,6-11,32,151,278,0.543,16,53,0.302,53,72,0.736,213,6.656,26,0.813,26,0.813,16,0.500,371,11.594,49
"Marconi, Michael",Sr.,2013-14,G,6-0,4,1,3,0.333,0,2,0.000,0,0,-,2,0.500,1,0.250,0,-,1,0.250,2,0.500,1
"Perry, Brandon",So.,2013-14,C,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sanadze, Duda",So.,2013-14,G,6-5,31,129,324,0.398,45,146,0.308,96,120,0.800,114,3.677,29,0.935,8,0.258,21,0.677,399,12.871,62
"Sarbaugh, Chris",Jr.,2013-14,G,6-3,31,33,74,0.446,0,7,0.000,18,34,0.529,42,1.355,40,1.290,4,0.129,12,0.387,84,2.710,29
"Tillett, Therone",So.,2013-14,G,5-11,4,4,5,0.800,2,3,0.667,0,0,-,0,-,0,-,0,-,0,-,10,2.500,0
