name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Andrews, Raymone",Sr.,2013-14,G,6-2,30,80,229,0.349,34,110,0.309,77,105,0.733,71,2.367,116,3.867,8,0.267,29,0.967,271,9.033,66
"Baral, Glenn",Fr.,2013-14,G,6-3,28,25,90,0.278,17,63,0.270,3,5,0.600,25,0.893,12,0.429,1,0.036,11,0.393,70,2.500,10
"Glasford, B.J.",Fr.,2013-14,G,6-4,31,37,115,0.322,13,52,0.250,19,25,0.760,49,1.581,21,0.677,3,0.097,11,0.355,106,3.419,22
"Graham, Aaron",Sr.,2013-14,G,6-4,30,77,211,0.365,40,120,0.333,41,53,0.774,47,1.567,31,1.033,2,0.067,21,0.700,235,7.833,43
"Green, Willie",Sr.,2013-14,F,6-6,31,158,307,0.515,6,22,0.273,96,137,0.701,120,3.871,26,0.839,41,1.323,19,0.613,418,13.484,33
"Hadley, Aidan",So.,2013-14,F,6-5,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,1,0.500,0,-,0
"Harney, Raekwon",Fr.,2013-14,G,5-11,9,10,26,0.385,4,7,0.571,1,3,0.333,13,1.444,11,1.222,0,-,3,0.333,25,2.778,13
"Harvey, Cameron",So.,2013-14,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Miller, Hunter",Sr.,2013-14,G,6-1,31,44,130,0.338,19,69,0.275,43,54,0.796,69,2.226,67,2.161,2,0.065,15,0.484,150,4.839,32
"Pegg, Brian",Fr.,2013-14,G,6-7,30,97,222,0.437,5,23,0.217,49,96,0.510,189,6.300,40,1.333,11,0.367,24,0.800,248,8.267,59
"Plemmons, Tanner",So.,2013-14,G,6-2,8,4,9,0.444,4,9,0.444,0,0,-,2,0.250,0,-,0,-,0,-,12,1.500,2
"Sikora, Kyle",Jr.,2013-14,C,7-0,30,31,52,0.596,0,0,-,9,22,0.409,76,2.533,2,0.067,17,0.567,6,0.200,71,2.367,30
"Smith, Kentwan",Jr.,2013-14,F,6-8,31,113,227,0.498,17,66,0.258,48,82,0.585,157,5.065,43,1.387,26,0.839,32,1.032,291,9.387,65
"Solanke, Leke",So.,2013-14,F,6-6,25,7,10,0.700,0,0,-,5,8,0.625,18,0.720,1,0.040,5,0.200,2,0.080,19,0.760,7
"Zelis, Andrew",Fr.,2013-14,C,6-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
