name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Allen, Ty",Jr.,2013-14,G,6-2,24,60,173,0.347,22,80,0.275,44,56,0.786,36,1.500,19,0.792,3,0.125,14,0.583,186,7.750,36
"Caldwell, Dwan",Jr.,2013-14,C,6-8,33,137,254,0.539,0,1,0.000,80,127,0.630,183,5.545,14,0.424,33,1.000,22,0.667,354,10.727,58
"Carter, Ladon",Jr.,2013-14,F,6-6,31,92,144,0.639,0,0,-,30,64,0.469,139,4.484,21,0.677,37,1.194,38,1.226,214,6.903,35
"Diressa, Ammanuel",So.,2013-14,G,6-4,15,12,32,0.375,5,21,0.238,7,10,0.700,14,0.933,9,0.600,0,-,4,0.267,36,2.400,6
"Eaglin, Kevin",Jr.,2013-14,G,5-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Haynes, Deondre",Fr.,2013-14,G,6-3,16,17,39,0.436,0,2,0.000,15,21,0.714,15,0.938,10,0.625,3,0.188,10,0.625,49,3.063,14
"Hill, Mitchell",Jr.,2013-14,G,6-1,8,3,15,0.200,1,9,0.111,6,8,0.750,3,0.375,4,0.500,0,-,2,0.250,13,1.625,5
"Johnson, Jordan",Jr.,2013-14,G,6-1,33,56,159,0.352,41,117,0.350,25,38,0.658,46,1.394,29,0.879,3,0.091,25,0.758,178,5.394,36
"Marseille, Matt",Sr.,2013-14,F,6-6,22,24,58,0.414,0,1,0.000,21,30,0.700,58,2.636,6,0.273,4,0.182,5,0.227,69,3.136,16
"McKay, Javon",Jr.,2013-14,G,6-4,32,54,120,0.450,11,32,0.344,53,68,0.779,99,3.094,41,1.281,21,0.656,26,0.813,172,5.375,30
"Moore, Josiah",So.,2013-14,G,6-5,33,78,178,0.438,25,71,0.352,67,102,0.657,100,3.030,28,0.848,7,0.212,12,0.364,248,7.515,55
"Morse, Anthony",So.,2013-14,F,6-9,25,13,37,0.351,0,0,-,11,18,0.611,27,1.080,4,0.160,7,0.280,7,0.280,37,1.480,9
"Ogbe, Dennis",Sr.,2013-14,F,6-7,33,128,210,0.610,9,41,0.220,85,121,0.702,192,5.818,22,0.667,27,0.818,21,0.636,350,10.606,43
"Ramsey, Mason",Fr.,2013-14,F,6-6,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Samarrippas, Jeremiah",Sr.,2013-14,G,5-10,33,112,282,0.397,60,166,0.361,61,69,0.884,82,2.485,158,4.788,0,-,46,1.394,345,10.455,100
"Thomas, Shirmane",Fr.,2013-14,G,6-2,32,36,110,0.327,11,24,0.458,42,76,0.553,64,2.000,43,1.344,8,0.250,13,0.406,125,3.906,47
