name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aird, Ben",Sr.,2013-14,C,6-9,30,122,272,0.449,10,29,0.345,92,125,0.736,250,8.333,48,1.600,37,1.233,22,0.733,346,11.533,43
"Brown, Taylor",Sr.,2013-14,G,6-5,21,5,14,0.357,4,12,0.333,0,0,-,6,0.286,6,0.286,0,-,2,0.095,14,0.667,3
"Bruneel, Mitch",Jr.,2013-14,F,6-5,30,114,217,0.525,21,60,0.350,55,74,0.743,152,5.067,34,1.133,5,0.167,22,0.733,304,10.133,27
"Cardwell, Cory",---,2013-14,-,-,1,1,2,0.500,1,1,1.000,0,0,-,0,-,0,-,0,-,1,1.000,3,3.000,0
"Enos, Keawe",Sr.,2013-14,G,6-1,30,73,161,0.453,54,118,0.458,34,37,0.919,74,2.467,56,1.867,1,0.033,19,0.633,234,7.800,36
"Evans, Brenden",---,2013-14,-,-,30,23,46,0.500,0,4,0.000,32,50,0.640,79,2.633,4,0.133,6,0.200,10,0.333,78,2.600,21
"Garrity, Hayes",Jr.,2013-14,G,6-1,30,96,238,0.403,30,88,0.341,52,65,0.800,80,2.667,50,1.667,0,-,15,0.500,274,9.133,35
"Hunsaker, Holton",Sr.,2013-14,G,6-1,30,107,324,0.330,60,183,0.328,144,166,0.867,67,2.233,122,4.067,0,-,29,0.967,418,13.933,81
"Nelson, Zach",Fr.,2013-14,F,6-7,30,123,239,0.515,18,60,0.300,53,87,0.609,189,6.300,101,3.367,32,1.067,23,0.767,317,10.567,71
"Robison, Eli",Fr.,2013-14,F,6-5,11,3,9,0.333,0,3,0.000,1,3,0.333,5,0.455,1,0.091,1,0.091,0,-,7,0.636,3
"Ross, Chad",Jr.,2013-14,F,6-7,30,13,40,0.325,0,5,0.000,7,10,0.700,43,1.433,3,0.100,5,0.167,8,0.267,33,1.100,13
"Salmon, Marquis",Fr.,2013-14,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
