name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Baker, Ron",So.,2013-14,G,6-3,34,137,305,0.449,63,171,0.368,108,127,0.850,123,3.618,107,3.147,22,0.647,51,1.500,445,13.088,58
"Bush, Zach",Fr.,2013-14,F,6-6,23,1,7,0.143,1,4,0.250,0,2,0.000,7,0.304,3,0.130,0,-,1,0.043,3,0.130,5
"Carter, Darius",Jr.,2013-14,F,6-6,33,94,177,0.531,0,0,-,78,122,0.639,150,4.545,10,0.303,27,0.818,10,0.303,266,8.061,15
"Coleby, Kadeem",Sr.,2013-14,F,6-9,34,36,79,0.456,0,0,-,17,30,0.567,97,2.853,6,0.176,41,1.206,3,0.088,89,2.618,21
"Cotton, Tekele",Jr.,2013-14,G,6-2,34,127,278,0.457,42,112,0.375,70,102,0.686,141,4.147,82,2.412,11,0.324,48,1.412,366,10.765,37
"Early, Cleanthony",Sr.,2013-14,F,6-8,34,166,353,0.470,59,162,0.364,146,173,0.844,199,5.853,26,0.765,27,0.794,28,0.824,537,15.794,69
"Green, Derail",Fr.,2013-14,F,6-7,27,9,38,0.237,7,25,0.280,4,4,1.000,15,0.556,9,0.333,1,0.037,4,0.148,29,1.074,7
"Holland, Ria'N",Fr.,2013-14,G,5-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Lufile, Chadrack",Sr.,2013-14,F,6-9,34,73,134,0.545,0,0,-,51,85,0.600,173,5.088,8,0.235,27,0.794,10,0.294,197,5.794,36
"Morris, Shaq",Fr.,2013-14,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Simon, John Robert",Fr.,2013-14,G,5-10,24,1,8,0.125,1,5,0.200,9,15,0.600,8,0.333,3,0.125,0,-,1,0.042,12,0.500,7
"VanVleet, Fred",So.,2013-14,G,5-11,34,132,266,0.496,38,85,0.447,108,131,0.824,132,3.882,179,5.265,4,0.118,66,1.941,410,12.059,46
"Wessel, Evan",So.,2013-14,G,6-5,33,15,42,0.357,3,25,0.120,7,15,0.467,62,1.879,8,0.242,6,0.182,8,0.242,40,1.212,12
"Wiggins, Nick",Sr.,2013-14,G,6-6,34,55,155,0.355,20,83,0.241,42,71,0.592,77,2.265,19,0.559,9,0.265,7,0.206,172,5.059,29
