name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bourne, James",Jr.,2013-14,F,6-8,30,47,91,0.516,0,1,0.000,55,88,0.625,113,3.767,6,0.200,7,0.233,10,0.333,149,4.967,26
"Bremner, Carlin",So.,2013-14,G,5-10,11,6,16,0.375,1,6,0.167,2,2,1.000,2,0.182,0,-,0,-,3,0.273,15,1.364,4
"Brown, Larry",Jr.,2013-14,F,6-6,33,70,143,0.490,0,0,-,26,53,0.491,149,4.515,17,0.515,33,1.000,31,0.939,166,5.030,43
"Carter, Donovan",Sr.,2013-14,F,6-5,20,2,10,0.200,0,0,-,1,4,0.250,15,0.750,3,0.150,1,0.050,2,0.100,5,0.250,8
"Davenport, Josh",Fr.,2013-14,G,6-5,32,47,106,0.443,8,21,0.381,23,40,0.575,64,2.000,33,1.031,6,0.188,16,0.500,125,3.906,31
"Farmer, Christian",Sr.,2013-14,G,6-5,27,34,96,0.354,22,74,0.297,19,23,0.826,16,0.593,11,0.407,1,0.037,5,0.185,109,4.037,8
"Henry, Derrick",Jr.,2013-14,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jerome, Joab",Sr.,2013-14,F,6-5,31,117,264,0.443,38,86,0.442,108,142,0.761,128,4.129,78,2.516,11,0.355,29,0.935,380,12.258,84
"Johnson, Keon",Fr.,2013-14,G,5-7,33,124,297,0.418,64,145,0.441,93,109,0.853,63,1.909,47,1.424,0,-,19,0.576,405,12.273,39
"Moore, Keon",Jr.,2013-14,G,6-5,29,133,305,0.436,64,163,0.393,77,94,0.819,113,3.897,28,0.966,6,0.207,34,1.172,407,14.034,42
"Okeke, Duby",Fr.,2013-14,C,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Prescott, Tevin",So.,2013-14,C,6-5,32,67,110,0.609,0,0,-,27,50,0.540,92,2.875,5,0.156,13,0.406,14,0.438,161,5.031,17
"Sadlon, Hunter",Fr.,2013-14,G,6-0,7,0,2,0.000,0,1,0.000,1,2,0.500,2,0.286,2,0.286,0,-,0,-,1,0.143,0
"Saicic, Ivan",Fr.,2013-14,F,6-7,3,0,4,0.000,0,1,0.000,0,0,-,0,-,0,-,0,-,0,-,0,-,3
"Scott, Jarad",Fr.,2013-14,F,6-8,30,27,58,0.466,3,15,0.200,15,32,0.469,67,2.233,6,0.200,8,0.267,3,0.100,72,2.400,15
"Smith, Andre",Jr.,2013-14,G,5-10,33,108,257,0.420,71,170,0.418,47,58,0.810,88,2.667,81,2.455,2,0.061,34,1.030,334,10.121,47
"Vega, Brandon",Jr.,2013-14,G,5-10,32,39,84,0.464,1,3,0.333,34,44,0.773,48,1.500,61,1.906,1,0.031,11,0.344,113,3.531,37
