name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bedart Ghani, Khaliq",So.,2013-14,G,6-5,7,2,8,0.250,0,4,0.000,0,0,-,3,0.429,1,0.143,2,0.286,0,-,4,0.571,4
"Childs-Klein, Will",Jr.,2013-14,C,6-11,8,4,10,0.400,1,3,0.333,0,0,-,4,0.500,3,0.375,1,0.125,0,-,9,1.125,4
"Cotton, Armani",Jr.,2013-14,G,6-7,28,65,178,0.365,27,84,0.321,87,111,0.784,150,5.357,30,1.071,1,0.036,25,0.893,244,8.714,39
"Dallier, Anthony",Fr.,2013-14,G,6-6,21,15,54,0.278,6,28,0.214,14,22,0.636,33,1.571,14,0.667,1,0.048,3,0.143,50,2.381,6
"Downey, Sam",Fr.,2013-14,F,6-9,7,5,7,0.714,0,0,-,0,0,-,5,0.714,0,-,0,-,0,-,10,1.429,1
"Duren, Javier",Jr.,2013-14,G,6-4,26,85,249,0.341,31,101,0.307,122,151,0.808,94,3.615,80,3.077,4,0.154,38,1.462,323,12.423,69
"Edwards, AJ",Fr.,2013-14,G,6-5,5,2,4,0.500,1,3,0.333,1,2,0.500,1,0.200,1,0.200,0,-,0,-,6,1.200,1
"Flowers, J.T.",Fr.,2013-14,G,6-6,6,3,8,0.375,2,4,0.500,2,7,0.286,4,0.667,0,-,1,0.167,0,-,10,1.667,1
"Kelley, Greg",Jr.,2013-14,F,6-8,25,26,68,0.382,16,53,0.302,7,10,0.700,32,1.280,5,0.200,2,0.080,0,-,75,3.000,7
"Kreisberg, Jeremiah",Sr.,2013-14,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Montague, Jack",So.,2013-14,G,6-0,21,19,45,0.422,14,30,0.467,7,12,0.583,14,0.667,26,1.238,1,0.048,4,0.190,59,2.810,27
"Pritchard, Jesse",Sr.,2013-14,G,6-5,28,23,77,0.299,21,65,0.323,11,14,0.786,40,1.429,12,0.429,5,0.179,6,0.214,78,2.786,9
"Salafia, Isaiah",Sr.,2013-14,G,6-3,25,14,50,0.280,10,31,0.323,11,16,0.688,15,0.600,13,0.520,0,-,7,0.280,49,1.960,21
"Sears, Justin",So.,2013-14,F,6-8,28,159,311,0.511,3,9,0.333,158,223,0.709,202,7.214,36,1.286,52,1.857,35,1.250,479,17.107,60
"Sherrod, Brandon",Jr.,2013-14,F,6-6,28,66,142,0.465,0,0,-,64,102,0.627,116,4.143,35,1.250,23,0.821,9,0.321,196,7.000,30
"Townsend, Matt",Jr.,2013-14,F,6-7,28,48,96,0.500,0,1,0.000,37,51,0.725,82,2.929,16,0.571,3,0.107,15,0.536,133,4.750,27
"Victor, Nick",So.,2013-14,G,6-5,27,61,124,0.492,7,27,0.259,11,43,0.256,101,3.741,47,1.741,23,0.852,30,1.111,140,5.185,55
